Title_alternate|Contributor_1_name|Contributor_1_type|Contributor_1_role|Contributor_2_name|Contributor_2_type|Contributor_2_role|Contributor_3_name|Contributor_3_type|Contributor_3_role|Description|Subject|ETC_fileName|ETC_Note|Dimensions|Source|Coverage_periodName|ETC_AltId
BASKETBALL - Men||NULL|illustrator||NULL|illustrator||NULL|illustrator|Back Row:  Howie R. Ryan (Coach), Ralph F. Holmes, John H. Scovil, Bertram S. Miller, Everett R. Magnusson, Robert S. McGowan (Asst. Mgr.), Ralph E. Ayers (Mgr.)<P>$Front Row:  Harry A. MacEachern, David O. Worthen, Franklin A. Brooks (Capt.), Melvin J. Jacobson<P>$"U.N.B. Junior Varsity, City Champs, 1945."  Basketball with "'45" is shown.  This photo appears with partial identification in the 1945 "Up the Hill" yearbook. |Ryan,  Howie R.$Holmes,  Ralph F.$Scovil,  John H.$Miller,  Bertram S.$Magnusson,  Everett R.$McGowan,  Robert S.$Ayers,  Ralph E.$MacEachern,  Harry A.$Worthen,  David O.$Brooks,  Franklin A.$Jacobson,  Melvin J.|92.tif|Glass:  yes$Framed:  9.5" x 7.5"|b&w:  9" x 7"|PE 92|1945|92
BASKETBALL - Men|Harvey|CorporateName|Photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Audrey P. Murphy (Left Defence), R. Melrose (Spare), W.J. Edington (Manager), R.R. McLean (Center), Dyson W. Wallace (Spare Forward) <P>$Middle Row (left to right):  J. Miles Gibson (R. Defence), Reginald D. Jago (Capt., R. Forward), A. Clarence Edgecombe (left forward) <P>$Front Row:  R. Thompson (Spare Defence) <P>$Identification includes name of player's position. Basketball with "'15" is shown.|Murphy,  Audrey P.$Melrose,  R.$Edington,  W.J.$McLean,  R.R.$Wallace,  Dyson W.$Gibson,  J. Miles$Jago,  Reginald D.$Edgecombe,  A. Clarence $Thompson,  R.|101.tif|Conservation:  photo warped and cracked, stained and faded at edges$Glass:  yes$Framed:  15" x 13"|b&w:  9.5" x 7.5"|PE 101|1915|101
BASKETBALL - Men|Brown, Tanya|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Coach using table-top model of basketball court to demonstrate play to team members.  This photo appears in the 1944 "Up the Hill" yearbook.$|None|106.tif|Conservation:  photo warped|b&w:  10" x 8"|PE 106|1944|106
BASKETBALL - Men|Harvey|CorporateName|Photographer|Cote, Laura|PersonalName|scanner||NULL|illustrator|Back row (left to right):  Hayward C. Kinghorn, D.R. Smith <P>$Middle row (left to right):  John B. Alexander, G. Percy Rigby (Capt.), Isaac C. Spicer <P>$Front row (left to right):  Raymond R. Stevenson, J.F. Dolan <P>$Basketball with "U.N.B. 10" is shown.  Scores of nine games are listed on matte.|Kinghorn,  Hayward C.$Smith,  D.R.$Alexander,  John B.$Rigby,  G. Percy$Spicer,  Isaac C.$Stevenson,  Raymond R.$Dolan,  J.F.|114.tif|Conservation:  slight stains and a puncture on matte$Glass:  yes$Framed:  16.5" x 18.5"|b&w:  7.5" x 9.5"|PE 114|1910|114
BASKETBALL - Men|Harvey|CorporateName|Photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back Row (left to right):  Kenneth A. Dunphy and J.D. McBeath <P>$Middle Row (left to right):  Henry E. Hayward, John MacNaughton (Mgr.), D.R. Smith <P>$Front Row (left to right):  A.W. Thorne, A.H. Barker, F.C. Squires, G.H. Maxon <P>$Nine game scores listed on matte.  Identification includes name of player's position.  Trophy and basketball with "'05" are shown.  "Champions of New Brunswick and Winners of the Local League Fowler Trophy."|Dunphy,  Kenneth A.$McBeath,  J.D.$Hayward,  Henry E.$MacNaughton,  John$Smith,  D.R.$Thorne,  A.W.$Barker,  A.H.$Squires,  F.C.$Maxon,  G.H.|115.tif|Matted:  12" x 14"|b&w:  7.5" x 9.5"|PE 115|1905|115
BASKETBALL - Men|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Left to right:  Melvin Jacobson, Jim Gibson, Bill Haines, Jonh MacDougall, K.A. Clark, Bill Donald, Robert E. Miller, Hugh Church, Grant Davidson, John Blackmer <P>$This photo appears with complete identification in the 1948 "Up the Hill" yearbook.  Junior Varsity Basketball.$|Jacobson,  Melvin$Gibson,  Jim $Haines,  Haines $MacDougall,  John $Clark,  K.A. $Donald,  Bill $Miller,  Robert E. $Church,  Hugh $Davidson,  Grant $Blackmer,  John|344.tif||b&w:  6" x 4.5"|Shelf A - Sports Yearbook 1948 Envelope|1948|344
BASKETBALL - Men|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Left to right:  Hack Hillman (Coach), James A. Spinney, Ronald B. Smith, Bill Donald, Vern Clarkson, Larry Carey, Keith Leighton, George L. Smith, Bob Boby <P>$Absent from photo:  David J. Kempster <P>$This photo appears with complete identification in the 1948 "Up the Hill" yearbook.  Intermural Basketball Champs (Junior Civils).|Hillman,  Hack$Spinney,  James A.$Smith,  Ronald B.$Donald,  Bill$Clarkson,  Vern$Carey,  Larry$Leighton,  Keith$Smith,  George L.$Boby,  Bob|345.tif|Conservation:  creased, margin marked for reduction|b&w:  5" x 4"|Shelf A - Sports Yearbook 1948 Envelope|1948|345
BASKETBALL - Men|Cote, Laura|PersonalName|scanner||NULL|illustrator||NULL|illustrator|Left to right:  Cecil Garland (Capt.), Moe Atkinson, George Gagnon, Bruce Campbell, George Garner, Fred Moore, Bob Smith, Bud Hanson, John Roberts, George Jardine, George Buchan <P>$This photo appears with complete identification in the 1948 "Up the Hill" yearbook.  Senior Varsity basketball.|Garland,  Cecil$Atkinson,  Moe$Gagnon,  George$Campbell,  Bruce$Garner,  George$Moore,  Fred$Smith,  Bob$Hanson,  Bud$Roberts,  John$Jardine,  George$Buchan,  George|352.tif||b&w:  6" x 4.5"|Shelf A - Sports Yearbook 1948 Envelope|1948|352
BASKETBALL - Men|G.A. Burkhardt|CorporateName|Photographer|Brown, Tanya|PersonalName|scanner||NULL||Back Row (left to right):  Ward H. Patterson and J.D. McBeath <P>$Middle Row (left to right):  A.S. Thorne, Fred E. Jordan, Otty L. Barbour (Mgr.), A.H. Barker, John B. DeLong <P>$Front Row (left to right):  Peter R. McLean (Capt.) <P>$Identification includes players' class year.  Shown with basketball with "'03."|Patterson,  Ward H.$McBeath,  J.D.$Thorne,  A.S.$Jordan,  Fred E.$Barbour,  Otty L.$Barker,  A.H.$DeLong,  John B.$McLean,  Peter R.|365.tif|Conservation:  abrasions and scratches on photo; stained and punctured.$Matted:  14" x 12"|b&w:  9.5" x 8"|Shelf B|1903|365
BASKETBALL - Men|Harvey Studio|CorporateName|Photographer|Brown, Tanya|PersonalName|scanner||NULL|illustrator|Back row (left to right):  Arthur W. Braine, Jones, Maxwell T. McLaggan, Frederick H. Hewitt, Alfred F. Wightman <P>$Front row (left to right):  J.W. Bernard Sisam, Lockheart, Fraser <P>$Shown with basketball and trophy.  "Foresters' Basketball Team 1928,Winners of Inter-mural League."|Braine,  Arthur W.$Jones$McLaggan,  Maxwell T.$Hewitt,  Frederick H.$Wightman,  Alfred F.$Sisam,  J.W. Bernard$Lockheart$Fraser|367.tif|Conservation:  photo and matte stained and scratched$Matted:  14" x 11.5"|b&w:  9.5" x 7.5"|Shelf B|1928|367
