image_id|source_file|source_number|type|format|contributor|buildings_current|buildings_former|date|photographer|width|height|resolution|physical_size|cd_location|tiff_location|notes|no_students|no_profs|related_image|display_dpi
61|class1926|63|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1926-01-01|The Harvey Studios|12316|9501|300|39.1x29.2||||23|1||72
62|class1927|41|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1927-01-01|Harvey Studios|9653|7824|300|27.2x21.2||||29|1||72
63|class1927_28_sc|67|Student Council|tiff|Mike Meade, Alex Rogers|||1927-01-01|The Harvey Studios|8505|7014|300|25x20||||0|0||72
64|class1927_sp|0|Student Paper|tiff|Mike Meade, Alex Rogers|||1927-01-01||6252|4283|||||Brunswickan Staff|14|0||72
65|class1928_ec|0|Encoenia|tiff|Mike Meade, Alex Rogers|||1928-01-01|The Harvey Studios|12693|8496||||||0|13||72
66|class1928|42|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1928-01-01|Harvey Studios|12270|9327|300|39.2x29.3||||37|1||72
67|class1929|0|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1929-01-01|Harvey Studios|10710|8229|300|||||43|1||72
68|class1929_30_sc|45|Student Council|tiff|Mike Meade, Alex Rogers|||1929-01-01|Harvey Studios|9305|7408|300|27.2x21.6||||0|0||72
69|class1929_sc|44|Student Council|tiff|Mike Meade, Alex Rogers|||1929-01-01|Harvey Studios|9167|7309|300|27.3x21.4||||0|0||72
70|class1930|46|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1930-01-01|The Harvey Studios|12505|9728|300|39.1x29.2||||69|1||72
71|class1930_31_sc|47|Student Council|tiff|Mike Meade, Alex Rogers|||1930-01-01|Harvey Studios|9287|7451|300|27.2x21.6||||0|0||72
72|class1930_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1930-01-01|Harvey Studio|8611|7456|||||UNB COTC and Inspecting Officers|0|0||72
73|class1933|49|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1933-01-01|Harvey Studio|12425|9456|300|38.8x28.9||||0|0||72
74|class1933_ec|0|Encaenia|tiff|Mike Meade, Alex Rogers|||1933-01-01|Harvey Studio Photos|12506|8554|300|||||330|18||72
75|class1934_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1934-01-01||8260|6186|300||||COTC|0|0||72
76|class1934_presidents|0|Club|tiff|Mike Meade, Alex Rogers|Beaverbrook Residence|Beaverbrook Residence|1934-01-01|The Brunswickan|8181|11273|300||||Brunswickan article featuring the presidents of the various classes. |13|1|class1934_presidents_back|72
77|class1934_presidents_back|0|Reverse|tiff|Mike Meade, Alex Rogers|||1934-01-01|The Brunswickan|2748|6373|300||||Brunswickan article featuring the presidents of the various classes. |0|0|class1934_presidents|72
78|class1934|0|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1934-01-01|Harvey Studio|11191|8570|300|||||83|1||72
79|class1935_af|0|Academic Faculty|tiff|Mike Meade, Alex Rogers|||1935-01-01||7648|6096|300|||||0|18||72
80|class1935_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1935-01-01||6250|4942|300||||COTC|0|0||72
81|class1935_forestry|0|Faculty|tiff|Mike Meade, Alex Rogers|||1935-01-01|Harvey Studio|5886|4425|300||||UNB Forestry Graduates|5|0||72
82|class1935|51|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1935-01-01|Harvey Studio|12375|9408|300|39.4x29.6||||66|1||72
83|class1936|52|Class|tiff|Mike Meade, Alex Rogers|Old Arts|Arts Building|1936-01-01||12321|9455|300|38.9x29.2||||62|1||72
